# Devanagari

tmNA 0BA8
tmPA 0BAA
tmMA 0BAE
tmYA 0BAF
tmRA 0BB0
tmLA 0BB2
tmVA 0BB5
tmLLLA 0BB4
tmLLA 0BB3
tmRRA 0BB1
tmNNNA 0BA9
tmJA 0B9C
tmSHA 0BB6
tmSSA 0BB7
tmSA 0BB8
tmHA 0BB9

tmAnusvara 0B82
tmVisarga 0B83
tmVirama 0BCD

tmOm 0BD0

tmZero 0BE6
tmOne 0BE7
tmTwo 0BE8
tmThree 0BE9
tmFour 0BEA
tmFive 0BEB
tmSix 0BEC
tmSeven 0BED
tmEight 0BEE
tmNine 0BEF

tmTen 0BF0
tmOnehundred 0BF1
tmOnethousand 0BF2

tmDay 0BF3
tmMonth 0BF4
tmYear 0BF5

tmDebit 0BF6
tmCredit 0BF7
tmAsabove 0BF8

tmRupee 0BF9

tmNumber 0BFA

# Sinhala

snA 0D85
snAA 0D86
snAE 0D87
snAAE 0D88
snI 0D89
snII 0D8A
snU 0D8B
snUU 0D8C
snvR 0D8D
snvRR 0D8E
snvL 0D8F
snvLL 0D90
snE 0D91
snEE 0D92
snAI 0D93
snO 0D94
snOO 0D95
snAU 0D96

snmAA 0DCF
snmAE 0DD0
snmAAE 0DD1
snmI 0DD2
snmII 0DD3
snmU 0DD4
snmUU 0DD6
snmvR 0DD8
snmvRR 0DF2
snmvL 0DDF
snmvLL 0DF3
snmE 0DD9
snmEE 0DDA
snmAI 0DDB
snmO 0DDC
snmOO 0DDD
snmAU 0DDE

snKA 0D9A
snKHA 0D9B
snGA 0D9C
snGHA 0D9D
snNGA 0D9E
snCA 0DA0
snCHA 0DA1
snJA 0DA2
snJHA 0DA3
snNYA 0DA4
snTTA 0DA7
snTTHA 0DA8
snDDA 0DA9
snDDHA 0DAA
snNNA 0DAB
snTA 0DAD
snTHA 0DAE
snDA 0DAF
snDHA 0DB0
snNA 0DB1
snPA 0DB4
snPHA 0DB5
snBA 0DB6
snBHA 0DB7
snMA 0DB8
snYA 0DBA
snRA 0DBB
snLA 0DBD
snVA 0DC0
snSHA 0DC1
snSSA 0DC2
snSA 0DC3
snHA 0DC4

snLLA 0DC5
snFA 0DC6

snNNGA 0D9F
snNYJA 0DA6
snNNDDA 0DAC
snNDA 0DB3
snMBA 0DB9

snJNYA 0DA5

snAnusvara 0D82
snVisarga 0D83
snVirama 0DCA

snLithzero 0DE6
snLithone 0DE7
