# Devanagari
#
0A4B;grmOO;GURMUKHI VOWEL SIGN OO
0A4C;grmAU;GURMUKHI VOWEL SIGN AU
#
0A15;grKA;GURMUKHI LETTER KA
0A16;grKHA;GURMUKHI LETTER KHA
0A17;grGA;GURMUKHI LETTER GA
0A18;grGHA;GURMUKHI LETTER GHA
0A19;grNGA;GURMUKHI LETTER NGA
0A1A;grCA;GURMUKHI LETTER CA
0A1B;grCHA;GURMUKHI LETTER CHA
0A1C;grJA;GURMUKHI LETTER JA
0A1D;grJHA;GURMUKHI LETTER JHA
0A1E;grNYA;GURMUKHI LETTER NYA
0A1F;grTTA;GURMUKHI LETTER TTA
0A20;grTTHA;GURMUKHI LETTER TTHA
0A21;grDDA;GURMUKHI LETTER DDA
0A22;grDDHA;GURMUKHI LETTER DDHA
0A23;grNNA;GURMUKHI LETTER NNA
0A24;grTA;GURMUKHI LETTER TA
0A25;grTHA;GURMUKHI LETTER THA
0A26;grDA;GURMUKHI LETTER DA
0A27;grDHA;GURMUKHI LETTER DHA
0A28;grNA;GURMUKHI LETTER NA
0A2A;grPA;GURMUKHI LETTER PA
0A2B;grPHA;GURMUKHI LETTER PHA
0A2C;grBA;GURMUKHI LETTER BA
0A2D;grBHA;GURMUKHI LETTER BHA
0A2E;grMA;GURMUKHI LETTER MA
0A2F;grYA;GURMUKHI LETTER YA
0A30;grRA;GURMUKHI LETTER RA
0A32;grLA;GURMUKHI LETTER LA
0A35;grVA;GURMUKHI LETTER VA
0A38;grSA;GURMUKHI LETTER SA
0A39;grHA;GURMUKHI LETTER HA
#
0A5C;grRRA;GURMUKHI LETTER RRA
#
0A59;grKHxA;GURMUKHI LETTER KHHA
0A5A;grGxA;GURMUKHI LETTER GHHA
0A5B;grJxA;GURMUKHI LETTER ZA
0A5E;grPHxA;GURMUKHI LETTER FA
0A33;grLxA;GURMUKHI LETTER LLA
0A36;grSxA;GURMUKHI LETTER SHA
#
0A02;grBindi;GURMUKHI SIGN BINDI
0A70;grTippi;GURMUKHI TIPPI
0A03;grVisarga;GURMUKHI SIGN VISARGA
0A4D;grVirama;GURMUKHI SIGN VIRAMA
0A3C;grNukta;GURMUKHI SIGN NUKTA
0A71;grAddak;GURMUKHI ADDAK
0A01;grAdakbindi;GURMUKHI SIGN ADAK BINDI
0A51;grUdaat;GURMUKHI SIGN UDAAT
0A75;grYakash;GURMUKHI SIGN YAKASH
#
0A74;grEkonkar;GURMUKHI EK ONKAR
#
0A66;grZero;GURMUKHI DIGIT ZERO
0A67;grOne;GURMUKHI DIGIT ONE
0A68;grTwo;GURMUKHI DIGIT TWO
0A69;grThree;GURMUKHI DIGIT THREE
0A6A;grFour;GURMUKHI DIGIT FOUR
0A6B;grFive;GURMUKHI DIGIT FIVE
